구분	작업	주요 업무	세부 업무	API Endpoint
캘린더	일정 CRUD	일정 등록	시작/종료 일시·종일·제목·설명 입력, 시작 변경 시 종료 자동 보정	POST /calendar/events
캘린더	일정 CRUD	일정 등록	반복 규칙·다중 알림·참석자 선택 모달 통합	POST /calendar/events
캘린더	일정 CRUD	일정 조회	단일 일정 상세 조회 (반복·알림·참석자 응답 포함)	GET /calendar/events/{eventsId}
캘린더	일정 CRUD	일정 목록 조회	기간(from~to) 필터로 본인/관심/전사 통합 조회	GET /calendar/events
캘린더	일정 CRUD	일정 수정	시간·내용·반복·알림·참석자 수정, 참석자 변경 알림 발송	PUT /calendar/events/{eventsId}
캘린더	일정 CRUD	일정 삭제	작성자 권한 체크 + 참석자에게 즉시 반영	DELETE /calendar/events/{eventsId}
캘린더	시간 처리	로컬 시간 보존	toLocalISO 헬퍼 적용, 백엔드는 LocalDateTime 으로 수신	(FE 헬퍼 / 백엔드 LocalDateTime)
캘린더	반복 일정	반복 규칙 입력 UI	daily/weekly/monthly/yearly + interval 입력 컴포넌트	(FE)
캘린더	반복 일정	종료 조건 처리	무기한 / 종료일 / N회 반복 분기 처리	(백엔드 도메인 로직)
캘린더	알림	다중 알림 등록 UI	알림 방식 × 시간 단위 자유 조합 입력, 다중 row 추가/삭제	(FE)
캘린더	알림	알림 발송	EMAIL / PUSH / POPUP 3채널 발송 + 스케줄러 트리거	(백엔드 스케줄러)
캘린더	참석자	참석자 검색 모달	사원 검색(이름/부서) + 부서명 동시 노출	(FE 검색 + 사원 API 활용)
캘린더	내 캘린더	목록 조회	본인 생성 캘린더 목록	GET /calendar/my
캘린더	내 캘린더	캘린더 생성	색상·표시여부·정렬순서·공개여부 설정	POST /calendar/my
캘린더	내 캘린더	캘린더 수정	색상·표시·정렬·공개여부 부분 수정	PATCH /calendar/my/{calendarId}
캘린더	내 캘린더	캘린더 삭제	포함 일정 처리 정책 적용	DELETE /calendar/my/{calendarId}
캘린더	관심 캘린더	공유 신청	부서 트리/사원 검색 → 공유 신청 발송	POST /calendar/interest/share-request
캘린더	관심 캘린더	신청 응답	PENDING 신청 수락(APPROVED) / 거절(REJECTED)	PATCH /calendar/interest/share-request/{shareReqId}
캘린더	관심 캘린더	보낸 신청 조회	본인이 보낸 신청 목록 + 상태	GET /calendar/interest/share-request/sent
캘린더	관심 캘린더	받은 신청 조회	본인이 받은 신청 목록	GET /calendar/interest/share-request/received
캘린더	관심 캘린더	구독 목록 조회	활성화된 관심 캘린더 목록	GET /calendar/interest
캘린더	관심 캘린더	구독 설정 변경	색상·표시여부 등 부분 수정	PATCH /calendar/interest/{interestCalendarId}
캘린더	관심 캘린더	구독 해제	구독 row 삭제	DELETE /calendar/interest/{interestCalendarId}
캘린더	관심 캘린더	작성자 ID 매칭	targetEmpId 기반 일정 노출 (월/주 뷰 + 목록 뷰 동일)	(FE 필터 로직)
캘린더	관심 캘린더	PENDING 시각화	사이드바에 회색·비활성 표시 → 중복 신청 방지	(FE)
캘린더	전사 캘린더	전사 일정 등록	HR 관리자만 등록 가능, 전 사원에 강제 표시	POST /calendar/company-events
캘린더	전사 캘린더	전사 일정 수정	HR 관리자 권한 체크	PUT /calendar/company-events/{eventsId}
캘린더	전사 캘린더	전사 일정 삭제	HR 관리자 권한 체크	DELETE /calendar/company-events/{eventsId}
캘린더	전사 캘린더	표시 선호 저장	회사별 색상·표시여부 localStorage 저장 (디바이스별 유지)	(FE localStorage)
급여	급여대장	대장 목록 조회	연/월·상태 필터, 사원 수·상태 집계	GET /pay/admin/payroll
급여	급여대장	대장 생성	회사·연/월 기준 PayrollRun + 사원별 row INSERT	POST /pay/admin/payroll/create
급여	급여대장	사원 동기화	신규 입사자 누락 추가 (`CALCULATING`/`PENDING_APPROVAL` 허용)	POST /pay/admin/payroll/{payrollRunId}/sync-employees
급여	급여대장	사원 detail 조회	사원별 지급/공제·비과세 한도·자동 산출 결과	GET /pay/admin/payroll/{payrollRunId}/employees/{empId}
급여	급여대장	사원 detail 수정	지급/공제 입력 → 자동 재계산	PUT /pay/admin/payroll/{payrollRunId}/employees/{empId}/details
급여	급여대장	사원별 확정	`CALCULATING` → `CONFIRMED`, 가드 검증	PUT /pay/admin/payroll/{payrollRunId}/employees/{empId}/confirm
급여	급여대장	사원별 되돌리기	`CONFIRMED` → `CALCULATING` (결재 전만)	PUT /pay/admin/payroll/{payrollRunId}/employees/{empId}/revert
급여	급여대장	결재 양식 동적 빌드	활성 PayItem 기준 결의서 HTML 빌드 + 스냅샷 보존	GET /pay/admin/payroll/{payrollRunId}/approval/draft
급여	급여대장	사원별 지급	`APPROVED` → `PAID`, unpaid·집계 즉시 갱신	PUT /pay/admin/payroll/{payrollRunId}/pay
급여	급여대장	다중 일괄 확정	`CALCULATING` 사원만 사전 필터 + 제외 안내	PUT /pay/admin/payroll/{payrollRunId}/employees/{empId}/confirm (반복 호출)
급여	급여대장	확정 alert	확정 클릭 시 사용자 확인 모달 노출	(FE)
