대분류	중분류(기능)	소분류	구분코드	요구사항 상세
캘린더	일정 관리	일정 등록	REQ-CAL-001	사용자는 시작/종료 일시, 종일 토글, 제목, 설명, 장소를 입력해 일정을 등록할 수 있어야 한다. 시작 일시 변경 시 종료 일시는 자동 보정된다.
캘린더	일정 관리	일정 조회(상세)	REQ-CAL-002	사용자는 특정 일정의 상세 정보(반복 규칙, 알림, 참석자, 응답 상태 포함)를 조회할 수 있어야 한다.
캘린더	일정 관리	일정 목록 조회	REQ-CAL-003	사용자는 기간(from~to) 단위로 본인 / 관심 / 전사 일정을 통합 조회할 수 있어야 한다.
캘린더	일정 관리	일정 수정	REQ-CAL-004	작성자는 본인 일정의 시간·내용·반복·알림·참석자를 수정할 수 있어야 한다.
캘린더	일정 관리	일정 삭제	REQ-CAL-005	작성자는 본인 일정을 삭제할 수 있어야 하며, 참석자에게 삭제가 즉시 반영되어야 한다.
캘린더	시간 처리	로컬 시간 보존	REQ-CAL-006	UTC 자동 변환을 적용하지 않고 사용자 입력 시간(로컬) 그대로 저장·표시해야 한다. (toLocalISO 직렬화)
캘린더	반복 규칙	반복 패턴	REQ-CAL-007	일정에 daily/weekly/monthly/yearly 반복 + interval(1일마다, 2주마다 등)을 설정할 수 있어야 한다.
캘린더	반복 규칙	반복 종료 조건	REQ-CAL-008	반복 일정의 종료 조건을 무기한 / 종료일 지정 / N회 반복 중 선택할 수 있어야 한다.
캘린더	알림	다중 알림 등록	REQ-CAL-009	한 일정에 여러 개의 알림을 등록할 수 있어야 한다. (방식 × 시간 단위 자유 조합)
캘린더	알림	알림 방식	REQ-CAL-010	알림 방식은 EMAIL / PUSH / POPUP 3종을 지원해야 한다.
캘린더	알림	알림 시점	REQ-CAL-011	알림 시점은 분/시간/일 단위로 일정 시작 전 임의 시점 지정이 가능해야 한다.
캘린더	참석자	참석자 검색	REQ-CAL-012	일정 등록·수정 시 사원 검색(이름/부서명) 으로 참석자를 추가할 수 있어야 한다. 검색 결과에는 부서명이 동시 노출된다.
캘린더	내 캘린더	캘린더 목록 조회	REQ-CAL-013	사원은 본인이 생성한 캘린더 목록을 조회할 수 있어야 한다.
캘린더	내 캘린더	캘린더 생성	REQ-CAL-014	사원은 다중 캘린더를 생성할 수 있어야 하며 색상·표시여부·정렬순서·공개여부를 지정할 수 있어야 한다.
캘린더	내 캘린더	캘린더 수정	REQ-CAL-015	사원은 본인 캘린더의 색상·표시여부·정렬순서·공개여부를 수정할 수 있어야 한다.
캘린더	내 캘린더	캘린더 삭제	REQ-CAL-016	사원은 본인 캘린더를 삭제할 수 있어야 한다. (포함된 일정 처리 정책 명시)
캘린더	관심 캘린더	공유 신청	REQ-CAL-017	사원 A는 부서 트리/사원 검색을 통해 다른 사원에게 캘린더 공유를 신청할 수 있어야 한다.
캘린더	관심 캘린더	신청 중 표시	REQ-CAL-018	사이드바에 PENDING 상태 신청을 회색·비활성으로 노출하여 중복 신청을 방지해야 한다.
캘린더	관심 캘린더	보낸 신청 조회	REQ-CAL-019	사원은 본인이 보낸 공유 신청 목록과 상태를 조회할 수 있어야 한다.
캘린더	관심 캘린더	받은 신청 조회	REQ-CAL-020	사원은 본인이 받은 공유 신청을 조회할 수 있어야 한다.
캘린더	관심 캘린더	신청 수락/거절	REQ-CAL-021	사원 B는 받은 공유 신청을 수락(APPROVED) 또는 거절(REJECTED)할 수 있어야 한다.
캘린더	관심 캘린더	일정 자동 노출	REQ-CAL-022	수락 후 사원 A의 사이드바에 사원 B의 일정이 자동 노출되어야 한다. 매칭 키는 작성자 사원 ID(targetEmpId) 기반이며 별도 동기화 없이 신규 일정도 자동 노출되어야 한다.
캘린더	관심 캘린더	색상/표시 설정	REQ-CAL-023	구독 사원은 관심 캘린더별 색상·표시여부를 설정할 수 있어야 한다. (목록 뷰·월/주 뷰 모두 동일 적용)
캘린더	관심 캘린더	구독 해제	REQ-CAL-024	사원은 관심 캘린더 구독을 해제할 수 있어야 한다.
캘린더	전사 캘린더	전사 일정 등록	REQ-CAL-025	HR 관리자는 전사 일정을 등록할 수 있어야 하고, 등록된 일정은 전 사원에게 강제 표시되어야 한다.
캘린더	전사 캘린더	전사 일정 수정	REQ-CAL-026	HR 관리자는 전사 일정의 시간·내용을 수정할 수 있어야 한다.
캘린더	전사 캘린더	전사 일정 삭제	REQ-CAL-027	HR 관리자는 전사 일정을 삭제할 수 있어야 한다.
캘린더	전사 캘린더	표시 선호 저장	REQ-CAL-028	회사별 색상·표시여부는 사원 개인 선호로 localStorage에 저장되어 디바이스별로 유지되어야 한다.
급여	급여대장	대장 목록 조회	REQ-PAY-001	인사담당자는 연/월·상태 필터로 급여대장 목록을 조회할 수 있어야 한다.
급여	급여대장	대장 생성	REQ-PAY-002	인사담당자는 회사·연/월 단위로 급여대장(PayrollRun)을 생성할 수 있어야 하며 사원별 row가 자동 생성되어야 한다.
급여	급여대장	사원 동기화	REQ-PAY-003	대장 생성 후 신규 입사자만 누락 없이 추가할 수 있어야 한다. (기존 사원의 입력값·확정 상태는 보존) `CALCULATING` + `PENDING_APPROVAL` 상태에서 허용.
급여	급여대장	사원 새로고침	REQ-PAY-004	한 사원의 detail을 최신 연봉계약·정책 기준으로 통째로 재계산할 수 있어야 한다.
급여	급여대장	사원 detail 조회	REQ-PAY-005	인사담당자는 사원별 지급/공제 항목, 비과세 한도, 자동 산출 결과를 조회할 수 있어야 한다.
급여	급여대장	지급/공제 입력	REQ-PAY-006	인사담당자는 사원별 지급/공제 금액을 입력·수정할 수 있어야 하며, 변경 시 4대보험·소득세·지방소득세가 자동 재계산되어야 한다.
급여	급여대장	사원별 확정	REQ-PAY-007	인사담당자는 사원 1명 단위로 확정(`CONFIRMED`)할 수 있어야 한다. 가드: `CALCULATING`만 허용, 그 외 IllegalState.
급여	급여대장	사원별 되돌리기	REQ-PAY-008	결재 상신 전(`CONFIRMED`) 사원에 한해 산정중(`CALCULATING`)으로 되돌릴 수 있어야 한다.
급여	급여대장	다중 일괄 확정	REQ-PAY-009	인사담당자는 체크박스로 N명을 묶어 일괄 확정할 수 있어야 한다. 사전 필터링: `CALCULATING` 사원만 대상, 제외 사원 수를 안내.
급여	급여대장	결재 양식 동적 빌드	REQ-PAY-010	결재 시점에 활성 PayItem 기준으로 결의서 HTML을 동적 빌드하고, 빌드 결과를 결재 문서에 스냅샷으로 영구 보존해야 한다.
